Ville	Chomage	ChomageJeunes	ChomageLong	EvoluEmploiCree	Activite	EmploiFeminin	EmploiCommune	DefaillEntreprise	SalaireAnnuel	Criminalite	EvolutionCrimes	SecuriteRoutiere	Inondations	TerrainsPollues	UsinesRisques	MortaliteInfantile	MortaliteCancerPoumon	MortaliteAlcool	DecesInfarctus	TauxSuicide	MortaliteGlobale	TailleClassesPrimaires	Retard6eme	Retard3eme	RetardTerminale	MetreCarreAncien	TaxeHabitation	FoncierBati	MetreCubeEau	Proprietaires	LogtSup4pieces	LogtInsalubre	LogtVacant	LogtConstruction	Mer	Ski	Soleil	Pluie	Temperature	MarcheAPied	Musees	Cinema	MonumHistoriques	PretLivres	RestaurDistingues	Presse	Etudiants	ImpotRevenu	ImpotFortune	Imposables	EvolDemographique	Vieillissement	AttiranceGlobale	AttiranceActifs
Laval	11.300	0.137	0.460	0.060	0.470	0.480	0.690	0.160	17750	69.500	0.058	1.000	8	1	0	3.600	26.800	46.600	43.800	28.100	734.200	23.100	0.046	0.071	0.179	878	18.520	23.690	2.280	0.380	0.520	0.012	0.050	0.009	2	1	1622	117.000	11.700	0.110	1	4.000	13	3.800	1.000	18.700	0.050	1267	0.006	54	0.009	0.330	0.320	0.370
LeHavre	0.205	0.176	0.630	0.030	0.420	0.440	0.620	0.180	18739	83.700	0.014	3.900	13	11	5	7.000	45.800	61.900	82.500	15.500	920.700	22.500	0.042	0.146	0.286	973	17.670	27.240	2.570	0.390	0.450	0.017	0.070	0.005	3	1	1788	124.700	10.700	0.100	5	3.400	8	2.300	0.000	13.700	0.050	983	0.004	48	-0.025	0.280	0.150	0.190
LeMans	0.151	0.145	0.580	0.040	0.460	0.460	0.660	0.150	18562	84.500	0.083	4.900	10	6	2	5.000	34.700	43.600	59.400	25.600	743.700	21.600	0.043	0.084	0.152	952	17.540	21.060	2.340	0.440	0.510	0.011	0.060	0.008	1	1	1825	113.900	11.100	0.090	3	1.700	24	3.500	0.000	16.700	0.070	1261	0.006	55	0.004	0.400	0.270	0.320
Lille	0.200	0.139	0.590	0.040	0.430	0.490	0.430	0.280	19015	114.900	-0.057	2.900	9	17	0	6.600	53.200	92.800	96.900	26.000	1078.800	23.700	0.058	0.100	0.235	1119	33.550	23.560	2.960	0.250	0.340	0.040	0.140	0.009	2	1	1600	121.500	9.900	0.130	4	4.400	28	4.000	1.000	18.800	0.220	1263	0.007	48	0.073	0.230	0.420	0.450
Limoges	0.135	0.115	0.550	0.040	0.450	0.480	0.730	0.220	17819	60.800	0.305	4.800	6	4	0	5.200	38.800	36.000	67.300	26.300	780.800	22.600	0.068	0.141	0.248	860	17.200	16.440	1.930	0.370	0.420	0.018	0.070	0.005	1	1	1974	135.400	10.900	0.110	2	4.300	17	4.900	1.000	21.000	0.130	1331	0.006	54	0.004	0.500	0.290	0.300
Lyon	0.125	0.091	0.510	0.040	0.470	0.510	0.540	0.170	21521	105.000	-0.048	3.200	14	18	2	3.400	41.900	27.500	67.700	21.360	748.300	25.200	0.042	0.099	0.213	1132	19.090	15.220	2.740	0.320	0.320	0.020	0.110	0.004	1	2	1976	107.500	11.400	0.130	10	4.300	55	5.000	8.000	19.700	0.140	2036	0.014	61	0.072	0.380	0.380	0.430
Marseille	0.232	0.149	0.590	0.030	0.420	0.470	0.670	0.180	18821	111.500	-0.005	6.000	17	28	2	4.000	43.800	29.200	60.700	21.360	807.900	24.500	0.061	0.134	0.248	1090	21.930	18.470	2.760	0.440	0.380	0.019	0.080	0.005	3	1	2836	56.700	14.800	0.100	10	4.200	31	1.600	3.000	14.900	0.050	1302	0.006	47	-0.003	0.400	0.170	0.200
Melun	0.133	0.137	0.480	0.030	0.510	0.510	0.390	0.210	18362	85.400	-0.127	1.400	6	3	0	5.600	47.300	55.400	83.100	22.900	851.500	21.900	0.048	0.074	0.252	1524	17.250	23.240	3.590	0.240	0.380	0.008	0.100	0.006	1	1	1798	116.700	10.600	0.130	2	8.800	1	3.300	0.000	17.800	0.100	1263	0.007	56	0.011	0.240	0.440	0.510
Metz	0.143	0.186	0.500	0.060	0.460	0.480	0.560	0.200	18854	103.400	0.045	2.700	12	7	1	4.000	50.600	40.800	79.600	15.400	878.000	22.300	0.035	0.094	0.198	1054	17.060	15.620	2.520	0.290	0.470	0.006	0.080	0.005	1	2	1638	123.600	9.900	0.140	2	5.700	45	5.900	1.000	19.900	0.170	1396	0.006	52	0.035	0.240	0.350	0.380
Montauban	0.144	0.135	0.550	0.040	0.450	0.470	0.700	0.140	17369	95.900	0.095	5.400	6	2	0	6.600	33.500	21.100	55.500	28.700	731.600	23.400	0.049	0.095	0.184	915	13.050	28.850	2.860	0.510	0.600	0.009	0.070	0.013	1	1	2029	105.000	13.700	0.100	2	3.100	36	4.000	0.000	23.700	0.020	1202	0.004	50	0.012	0.410	0.270	0.310
Montlucon	0.187	0.146	0.580	0.020	0.410	0.450	0.600	0.090	16745	58.000	0.008	2.200	4	6	0	3.000	43.600	45.700	71.600	22.000	871.800	20.700	0.041	0.093	0.190	570	17.010	27.550	2.770	0.430	0.460	0.019	0.090	0.004	1	2	1880	118.300	10.500	0.110	1	2.500	4	5.000	0.000	21.700	0.040	959	0.005	50	-0.065	0.660	0.260	0.310
Montpellier	0.224	0.132	0.570	0.040	0.420	0.490	0.600	0.140	18299	127.500	0.012	2.000	5	1	0	4.600	34.700	25.200	75.800	18.000	725.600	23.400	0.059	0.128	0.202	980	20.760	29.060	2.060	0.310	0.360	0.006	0.100	0.018	2	1	2687	59.500	14.200	0.120	7	7.200	22	2.700	1.000	17.100	0.260	1309	0.006	47	0.084	0.360	0.410	0.410
Mulhouse	0.164	0.214	0.500	0.070	0.460	0.460	0.500	0.180	17346	113.700	0.035	2.500	6	13	1	5.000	50.800	48.300	106.400	17.400	957.900	23.700	0.068	0.104	0.172	852	16.650	21.100	2.800	0.330	0.460	0.025	0.100	0.001	1	2	1768	122.700	10.100	0.100	7	4.400	5	3.500	1.000	19.000	0.070	1212	0.006	49	0.018	0.260	0.270	0.320
Nancy	0.139	0.120	0.520	0.010	0.440	0.530	0.490	0.170	20296	86.200	-0.017	4.100	9	10	0	4.800	52.500	47.400	63.500	18.100	867.200	24.100	0.043	0.082	0.220	993	18.220	19.460	3.040	0.250	0.320	0.020	0.120	0.007	1	2	1652	124.500	9.600	0.180	4	4.800	72	5.100	0.000	20.400	0.280	1865	0.011	55	0.043	0.350	0.450	0.470
Nantes	0.178	0.118	0.580	0.060	0.450	0.500	0.560	0.130	20229	98.000	-0.040	3.400	5	7	1	4.000	36.900	43.000	68.400	21.500	741.100	24.200	0.062	0.113	0.199	1162	20.500	23.450	2.510	0.360	0.390	0.009	0.060	0.010	2	1	1956	117.600	11.900	0.080	5	5.900	23	4.100	1.000	16.200	0.160	1539	0.009	53	0.103	0.330	0.370	0.420
NeuillySurSeine	0.086	0.078	0.500	0.030	0.440	0.550	0.230	0.110	49586	65.600	0.079	0.700	6	0	0	4.400	22.900	12.900	60.600	21.360	561.300	27.400	0.014	0.047	0.058	5031	3.940	1.920	3.100	0.440	0.400	0.038	0.090	0.004	2	1	1798	111.600	11.700	0.090	0	1.500	2	3.200	1.000	24.400	0.030	14217	0.169	81	-0.031	0.610	0.390	0.480
Nevers	0.160	0.168	0.570	0.050	0.440	0.510	0.630	0.170	17460	83.700	0.088	1.900	1	3	0	5.200	41.000	51.500	78.500	28.200	820.600	21.100	0.076	0.109	0.213	707	20.710	28.200	2.910	0.370	0.470	0.022	0.100	0.004	1	1	1851	125.100	10.300	0.160	2	3.100	18	3.100	1.000	20.100	0.040	1170	0.005	52	-0.025	0.430	0.320	0.380
Nice	0.158	0.168	0.510	0.040	0.410	0.490	0.670	0.160	18491	123.700	0.203	7.000	19	4	0	3.200	40.300	27.100	54.400	21.360	762.800	24.100	0.048	0.107	0.171	1527	18.580	20.140	3.030	0.460	0.240	0.011	0.130	0.004	3	2	2694	62.600	15.300	0.130	12	3.400	28	2.400	2.000	20.000	0.090	1476	0.012	53	0.001	0.640	0.210	0.250
Nimes	0.228	0.160	0.610	0.070	0.420	0.470	0.640	0.150	17758	129.300	-0.029	6.400	10	2	0	2.800	34.400	29.600	74.600	20.700	766.100	23.800	0.045	0.120	0.222	795	29.330	31.050	2.640	0.400	0.480	0.007	0.120	0.009	2	1	2669	67.300	14.400	0.150	4	4.900	13	4.900	0.000	18.500	0.060	1210	0.007	45	0.039	0.400	0.280	0.330
Niort	0.148	0.165	0.590	0.060	0.470	0.510	0.660	0.190	19196	77.900	0.149	2.000	7	6	1	6.200	31.900	34.500	52.500	19.700	737.400	22.800	0.024	0.079	0.198	779	19.190	26.460	2.640	0.460	0.580	0.008	0.100	0.005	2	1	1934	121.000	12.200	0.100	1	4.500	3	3.000	0.000	21.100	0.040	1408	0.006	54	-0.006	0.450	0.310	0.360
Orleans	0.129	0.149	0.520	0.100	0.480	0.530	0.510	0.120	19579	101.100	-0.011	3.400	2	1	0	6.600	35.800	29.800	59.800	16.300	676.700	22.800	0.072	0.117	0.180	1052	20.990	29.810	2.440	0.340	0.420	0.009	0.080	0.006	1	1	1805	113.500	10.600	0.130	2	3.700	30	5.200	1.000	17.000	0.150	1611	0.009	58	0.076	0.280	0.390	0.450
Paris	0.120	0.089	0.500	0.040	0.530	0.500	0.610	0.140	28694	139.100	0.055	5.700	4	9	0	5.200	38.300	26.100	61.200	21.360	717.000	24.800	0.042	0.106	0.218	2973	8.800	7.110	2.380	0.300	0.210	0.055	0.100	0.004	1	1	1798	111.600	11.700	0.090	68	5.100	416	3.800	73.000	32.800	0.130	4408	0.036	67	-0.013	0.430	0.300	0.350
Pau	0.170	0.117	0.560	0.010	0.420	0.510	0.560	0.140	19055	73.900	0.051	2.400	7	1	0	6.600	42.300	25.200	60.700	20.500	760.600	21.600	0.076	0.165	0.222	849	22.100	23.440	2.230	0.350	0.440	0.008	0.120	0.008	2	2	1849	129.600	12.700	0.110	5	4.400	2	4.300	0.000	23.000	0.170	1372	0.009	51	-0.042	0.510	0.370	0.400
Perigueux	0.156	0.136	0.550	0.040	0.460	0.520	0.580	0.160	16833	52.700	-0.132	3.900	6	2	0	1.000	46.400	50.000	65.500	20.700	751.000	22.000	0.037	0.076	0.199	1026	13.890	42.420	2.390	0.340	0.440	0.012	0.090	0.001	1	1	2025	118.000	12.500	0.220	1	3.500	18	5.800	0.000	28.800	0.060	1172	0.005	50	-0.003	0.680	0.390	0.460
Perpignan	0.247	0.194	0.590	0.040	0.380	0.470	0.610	0.180	16704	116.500	0.086	1.300	5	3	0	6.800	41.400	22.400	70.000	19.200	782.800	21.900	0.089	0.129	0.214	695	16.190	20.840	2.790	0.430	0.480	0.007	0.130	0.007	2	2	2506	56.500	15.300	0.130	4	5.700	19	2.300	2.000	19.900	0.090	1011	0.006	42	-0.008	0.590	0.280	0.340
Poitiers	0.151	0.118	0.530	0.050	0.410	0.510	0.620	0.120	18170	76.200	-0.080	5.100	8	1	0	6.800	33.100	25.600	55.300	23.000	698.400	22.800	0.041	0.107	0.216	901	21.960	24.920	2.170	0.280	0.370	0.016	0.090	0.008	2	1	1930	112.800	11.200	0.100	2	6.500	25	6.300	1.000	20.600	0.320	1356	0.007	51	0.058	0.380	0.450	0.420
Quimper	0.130	0.112	0.530	0.020	0.460	0.500	0.660	0.180	18201	89.400	0.262	1.500	8	2	0	2.600	34.400	61.000	63.000	26.900	865.600	23.500	0.042	0.075	0.209	884	16.850	17.700	3.300	0.540	0.560	0.011	0.070	0.014	3	1	1749	145.800	11.400	0.080	2	5.600	11	4.800	1.000	20.600	0.060	1341	0.005	54	0.064	0.330	0.320	0.370
Reims	0.160	0.167	0.570	0.040	0.450	0.480	0.660	0.170	18465	82.800	-0.088	1.600	4	8	2	4.400	46.400	41.300	72.900	20.100	864.900	23.200	0.030	0.096	0.239	1165	17.720	27.090	2.680	0.250	0.460	0.012	0.080	0.008	1	1	1729	113.300	10.000	0.100	4	3.500	49	3.000	2.000	15.600	0.140	1312	0.007	52	0.036	0.260	0.280	0.290
Rennes	0.133	0.110	0.500	0.070	0.440	0.510	0.590	0.110	19407	93.600	0.101	4.500	7	2	0	5.200	30.800	35.500	61.800	22.400	706.000	24.500	0.039	0.119	0.226	1192	21.750	21.750	2.620	0.340	0.390	0.011	0.060	0.004	2	1	1851	115.500	11.400	0.110	4	5.100	37	5.000	1.000	17.200	0.260	1542	0.009	56	0.044	0.300	0.400	0.400
Rouen	0.177	0.141	0.580	0.070	0.470	0.520	0.450	0.180	19455	79.800	-0.031	3.700	15	3	2	6.800	47.700	55.500	76.200	24.300	866.100	23.200	0.035	0.111	0.200	1075	19.060	20.030	2.480	0.270	0.320	0.015	0.100	0.006	2	1	1687	130.900	9.800	0.160	7	4.500	44	3.500	4.000	20.700	0.060	1400	0.008	52	0.038	0.370	0.420	0.470
RueilMalmaison	0.076	0.139	0.490	0.000	0.510	0.470	0.260	0.100	29944	60.100	-0.013	2.500	5	3	0	6.200	32.600	25.100	58.000	16.500	699.100	27.000	0.028	0.062	0.114	3049	14.700	9.940	3.050	0.460	0.420	0.009	0.060	0.004	2	1	1798	116.000	10.300	0.080	1	3.400	4	3.300	0.000	15.600	0.010	4052	0.024	77	0.106	0.230	0.390	0.460
SaintBrieuc	0.159	0.141	0.560	0.030	0.420	0.520	0.550	0.170	17835	72.600	0.068	2.100	5	2	0	5.200	41.700	58.600	63.200	47.100	845.700	21.900	0.067	0.146	0.265	922	23.720	24.140	2.350	0.460	0.530	0.011	0.090	0.002	3	1	1795	129.700	11.500	0.140	1	4.300	6	4.300	0.000	19.600	0.070	1198	0.007	49	0.030	0.490	0.360	0.420
SaintDenis	0.204	0.128	0.530	0.050	0.490	0.420	0.230	0.210	17318	147.100	0.444	3.400	10	6	0	5.400	62.800	57.800	68.100	21.360	918.900	23.200	0.102	0.206	0.303	1372	9.170	16.470	3.050	0.220	0.280	0.049	0.120	0.011	2	1	1750	112.700	10.800	0.090	1	5.000	12	2.700	0.000	11.900	0.460	758	0.001	44	-0.046	0.150	0.330	0.370
SaintEtienne	0.170	0.114	0.580	0.020	0.420	0.470	0.600	0.180	17772	87.500	0.047	1.400	5	6	1	3.200	40.900	41.600	67.900	25.900	784.900	22.800	0.064	0.119	0.216	685	18.940	22.150	3.420	0.390	0.420	0.019	0.110	0.002	1	2	1880	98.900	10.400	0.140	2	2.700	1	5.600	0.000	13.300	0.100	1107	0.006	50	-0.096	0.430	0.190	0.220
SaintGermainEnLaye	0.074	0.132	0.460	0.010	0.470	0.570	0.280	0.130	33186	63.500	0.070	1.800	2	0	0	6.400	44.200	22.400	80.300	21.360	759.000	25.500	0.008	0.050	0.187	3354	12.150	9.930	2.350	0.390	0.450	0.016	0.100	0.002	2	1	1798	116.000	10.300	0.110	2	7.000	7	3.200	0.000	24.400	0.050	4953	0.048	76	-0.038	0.300	0.440	0.490
SaintMalo	0.145	0.208	0.520	0.080	0.420	0.480	0.690	0.030	17657	94.000	0.004	0.800	5	3	0	7.600	42.100	41.800	69.400	29.800	823.000	23.700	0.042	0.126	0.213	1426	15.800	21.950	4.970	0.490	0.550	0.007	0.050	0.007	3	1	1853	128.000	10.900	0.100	2	3.900	11	4.500	3.000	21.800	0.020	1276	0.010	51	0.054	0.460	0.280	0.320
SaintNazaire	0.182	0.180	0.590	0.130	0.430	0.380	0.610	0.090	18363	68.600	0.122	3.700	2	2	0	3.200	41.600	56.600	66.000	24.000	883.900	23.700	0.048	0.133	0.224	994	16.520	20.180	2.930	0.470	0.550	0.008	0.060	0.020	3	1	1956	112.900	11.700	0.070	1	3.300	2	6.300	0.000	16.900	0.050	1023	0.003	51	0.016	0.340	0.250	0.280
SaintQuentin	0.208	0.188	0.580	0.030	0.430	0.470	0.580	0.190	17190	67.800	-0.042	1.800	7	5	0	6.200	55.400	61.700	82.100	19.400	974.400	22.200	0.030	0.116	0.217	723	20.530	30.570	3.390	0.450	0.610	0.039	0.080	0.000	2	1	1658	124.100	9.700	0.160	1	2.700	3	4.000	0.000	18.300	0.030	1003	0.006	44	-0.026	0.300	0.210	0.260
Sarcelles	0.209	0.176	0.520	0.010	0.420	0.500	0.200	0.210	17335	72.400	-0.067	0.700	10	0	0	6.600	41.400	33.200	73.000	21.360	928.800	24.100	0.066	0.149	0.258	991	17.320	18.800	3.080	0.330	0.580	0.003	0.060	0.000	1	1	1750	112.700	10.800	0.080	0	0.400	1	1.000	0.000	9.000	0.010	840	0.002	44	0.018	0.120	0.300	0.320
Sete	0.255	0.202	0.630	0.040	0.390	0.450	0.550	0.090	16904	96.300	-0.129	2.500	4	0	6	9.400	46.500	47.000	68.600	23.300	836.200	25.000	0.058	0.114	0.236	1033	23.230	34.040	2.120	0.450	0.460	0.010	0.110	0.015	3	1	2687	57.200	14.700	0.160	1	1.800	1	4.800	0.000	20.900	0.010	996	0.005	42	-0.047	0.570	0.250	0.280
Strasbourg	0.136	0.207	0.460	0.040	0.450	0.490	0.640	0.150	19215	123.700	0.064	3.700	14	18	7	5.000	47.700	35.800	87.200	21.360	855.400	23.900	0.051	0.078	0.168	1249	22.100	18.590	2.180	0.240	0.380	0.018	0.100	0.005	1	2	1637	111.300	10.000	0.120	9	3.300	63	3.800	4.000	14.800	0.170	1746	0.010	56	0.047	0.260	0.300	0.320
Tarbes	0.194	0.148	0.560	0.010	0.420	0.490	0.560	0.150	16733	69.200	-0.074	5.400	3	2	0	5.000	42.900	34.700	64.300	14.200	812.000	20.100	0.053	0.074	0.225	721	18.130	24.260	1.840	0.350	0.480	0.009	0.090	0.006	2	2	1913	126.500	11.900	0.140	1	3.200	3	3.700	1.000	23.600	0.090	960	0.004	47	-0.027	0.550	0.340	0.400
Toulon	0.215	0.194	0.580	0.070	0.400	0.430	0.560	0.130	17147	89.700	0.061	4.300	6	1	0	3.400	44.900	39.000	47.600	22.900	814.700	23.200	0.055	0.124	0.208	963	21.590	26.670	3.020	0.440	0.420	0.007	0.110	0.001	3	1	2899	59.700	15.900	0.120	4	3.300	7	1.600	0.000	17.300	0.030	1081	0.005	49	-0.042	0.540	0.260	0.320
Toulouse	0.187	0.108	0.540	0.050	0.460	0.450	0.630	0.150	19773	102.600	-0.034	4.200	8	26	3	4.000	36.700	23.500	58.500	21.360	697.200	24.200	0.048	0.127	0.232	1010	18.680	20.980	2.370	0.310	0.360	0.007	0.090	0.011	2	2	2047	101.300	12.900	0.090	8	5.300	51	2.400	2.000	16.800	0.230	1549	0.008	53	0.088	0.400	0.380	0.400
Tours	0.162	0.132	0.550	0.050	0.440	0.520	0.540	0.160	18116	90.200	0.132	4.000	5	2	0	3.800	42.400	39.900	62.000	26.800	712.300	23.300	0.017	0.057	0.173	1052	20.790	20.820	1.730	0.310	0.380	0.010	0.080	0.007	1	1	1845	114.200	11.200	0.130	5	5.000	32	2.400	3.000	19.600	0.200	1306	0.009	54	0.026	0.450	0.380	0.400
Troyes	0.195	0.193	0.540	0.020	0.460	0.530	0.500	0.210	16564	93.300	0.113	2.100	3	9	0	7.000	43.300	51.200	89.000	26.200	877.800	23.300	0.039	0.119	0.220	837	18.150	24.360	2.570	0.310	0.400	0.020	0.100	0.004	1	1	1729	113.300	10.000	0.130	5	2.300	20	3.900	2.000	17.400	0.080	1079	0.007	47	0.029	0.370	0.360	0.410
Valence	0.182	0.141	0.560	0.020	0.440	0.470	0.580	0.160	18141	103.400	0.032	2.200	1	7	1	5.800	48.200	32.900	78.900	24.400	767.200	22.300	0.050	0.102	0.206	752	16.250	23.310	1.980	0.410	0.520	0.008	0.090	0.003	2	2	2498	81.500	13.000	0.120	2	4.300	7	5.200	1.000	20.900	0.080	1131	0.006	49	0.013	0.360	0.300	0.350
Valenciennes	0.193	0.146	0.580	0.070	0.420	0.480	0.430	0.220	18899	85.500	0.092	2.000	2	10	0	6.000	45.700	83.100	111.000	16.200	1104.400	23.200	0.030	0.100	0.224	1020	31.250	26.390	3.110	0.360	0.540	0.038	0.070	0.004	2	1	1600	121.500	9.900	0.150	1	2.600	8	7.300	0.000	24.200	0.130	1385	0.009	46	0.074	0.310	0.370	0.440
Vannes	0.134	0.117	0.480	0.050	0.450	0.470	0.620	0.110	18752	78.100	-0.050	0.900	5	2	0	4.800	36.900	46.900	78.400	30.000	756.100	24.000	0.036	0.138	0.187	1213	14.820	18.420	2.680	0.400	0.490	0.008	0.060	0.009	3	1	2024	130.900	11.400	0.120	2	5.100	6	6.600	1.000	22.500	0.080	1518	0.010	56	0.134	0.350	0.430	0.480
Versailles	0.069	0.115	0.460	0.000	0.460	0.520	0.330	0.150	30782	70.400	0.104	2.100	4	1	0	7.200	38.900	28.100	54.300	21.360	708.200	26.100	0.025	0.046	0.189	3354	8.960	10.990	2.230	0.400	0.430	0.020	0.080	0.002	2	1	1798	116.000	10.300	0.120	6	8.500	39	3.500	1.000	19.500	0.110	4358	0.050	76	-0.023	0.330	0.400	0.470
Vichy	0.206	0.147	0.600	0.020	0.390	0.550	0.460	0.130	17284	63.100	0.051	6.600	7	0	0	5.800	31.400	57.700	93.400	27.800	891.000	19.900	0.036	0.074	0.207	731	15.770	20.670	2.830	0.400	0.380	0.026	0.170	0.001	1	2	1880	118.300	10.500	0.180	0	2.500	4	8.000	1.000	27.900	0.030	1101	0.010	48	-0.043	1.080	0.370	0.450
Villeurbanne	0.148	0.110	0.530	0.060	0.460	0.440	0.310	0.160	18460	105.000	-0.048	1.800	4	4	0	4.200	41.800	27.900	74.100	12.800	768.700	25.700	0.086	0.142	0.275	957	19.850	14.800	2.740	0.380	0.360	0.016	0.110	0.019	1	2	1976	107.500	11.400	0.100	0	0.400	0	4.500	0.000	11.400	0.180	1114	0.003	55	0.063	0.300	0.380	0.430
